MsgID.STATE,1527096366.7015741,False,False
MsgID.GLOBAL_HOME,1527096368.7752492,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096368.8325460,-122.3957485,37.7932798,0.0320000
MsgID.LOCAL_VELOCITY,1527096368.8325460,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096368.8334274,-0.1941616,0.3011626,-0.0321715
MsgID.LOCAL_VELOCITY,1527096368.8334274,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096369.0831559,-122.3957466,37.7932805,0.0650000
MsgID.LOCAL_VELOCITY,1527096369.0831559,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096369.0836918,-0.1162863,0.4691937,-0.0657344
MsgID.LOCAL_VELOCITY,1527096369.0836918,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096369.3324654,-122.3957483,37.7932814,0.0880000
MsgID.LOCAL_VELOCITY,1527096369.3324654,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096369.3329530,-0.0139638,0.3221174,-0.0884856
MsgID.LOCAL_VELOCITY,1527096369.3329530,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096369.5827122,-122.3957495,37.7932792,0.0940000
MsgID.LOCAL_VELOCITY,1527096369.5827122,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096369.5832055,-0.2572910,0.2148808,-0.0945083
MsgID.LOCAL_VELOCITY,1527096369.5832055,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096369.7749388,False,False
MsgID.GLOBAL_HOME,1527096369.7755094,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096369.8329792,-122.3957480,37.7932800,0.0820000
MsgID.LOCAL_VELOCITY,1527096369.8329792,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096369.8758383,-0.1645662,0.3451003,-0.0825402
MsgID.LOCAL_VELOCITY,1527096369.8758383,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096370.0832722,-122.3957475,37.7932812,0.0560000
MsgID.LOCAL_VELOCITY,1527096370.0832722,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096370.0837655,-0.0337673,0.3954641,-0.0563003
MsgID.LOCAL_VELOCITY,1527096370.0837655,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096370.3339162,-122.3957475,37.7932791,0.0220000
MsgID.LOCAL_VELOCITY,1527096370.3339162,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096370.3344588,-0.2649485,0.3936636,-0.0227617
MsgID.LOCAL_VELOCITY,1527096370.3344588,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096370.5852575,-122.3957488,37.7932785,-0.0110000
MsgID.LOCAL_VELOCITY,1527096370.5852575,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096370.5858066,-0.3308136,0.2763584,0.0110706
MsgID.LOCAL_VELOCITY,1527096370.5858066,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096370.7746420,False,False
MsgID.GLOBAL_HOME,1527096370.7766900,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096370.8351851,-122.3957485,37.7932802,-0.0390000
MsgID.LOCAL_VELOCITY,1527096370.8351851,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096370.8357534,-0.1396146,0.3005831,0.0399633
MsgID.LOCAL_VELOCITY,1527096370.8357534,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096371.0844612,-122.3957477,37.7932805,-0.0600000
MsgID.LOCAL_VELOCITY,1527096371.0844612,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096371.0846112,-0.1124510,0.3714877,0.0603838
MsgID.LOCAL_VELOCITY,1527096371.0846112,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096371.3335879,-122.3957489,37.7932800,-0.0700000
MsgID.LOCAL_VELOCITY,1527096371.3335879,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096371.3338375,-0.1662737,0.2689906,0.0700858
MsgID.LOCAL_VELOCITY,1527096371.3338375,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096371.5841136,-122.3957473,37.7932795,-0.0690000
MsgID.LOCAL_VELOCITY,1527096371.5841136,0.0000000,0.0000000,0.0000000
